j1,j2,j3,j4,j5,j6,x,y,z,ox,oy,oz,ow,manip
2.007431889938314118e+00,4.991629254693905754e-03,1.808626425003430904e-01,5.756797483159547646e+00,-3.705413285242463495e+00,-3.228472946262173626e-01,-1.049322482084291241e+00,8.450384224017614132e-01,1.106587955583267391e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.351121615410973316e-02
2.007738935705151384e+00,-2.647704006805080140e-02,1.867421283283849931e-01,5.781114021723801955e+00,-3.704789516444281450e+00,-3.239821542628273376e-01,-1.049322482084291241e+00,8.450384224017614132e-01,1.131587955583267524e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.395977435890715344e-02
2.007938677695356944e+00,-5.716591155505341970e-02,1.908192163930767515e-01,5.806543956778501325e+00,-3.704433602043908369e+00,-3.250212931941091621e-01,-1.049322482084291241e+00,8.450384224017614132e-01,1.156587955583267657e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.427128406900081067e-02
2.008033880105432267e+00,-8.693801585469776438e-02,1.929148197009430687e-01,5.833093268615001215e+00,-3.704345030165566044e+00,-3.259955522027708774e-01,-1.049322482084291241e+00,8.450384224017614132e-01,1.181587955583267568e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.443243405262062580e-02
2.008026625038195956e+00,-1.157004799036268489e-01,1.929415626462195055e-01,5.860721713780210784e+00,-3.704524078399304976e+00,-3.269344925907754495e-01,-1.049322482084291241e+00,8.450384224017614132e-01,1.206587955583267480e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.443677279846766921e-02
2.007918208859773568e+00,-1.434073429253598653e-01,1.909085815249531304e-01,5.889341041298283841e+00,-3.704972122800656020e+00,-3.278661703570994734e-01,-1.049322482084291241e+00,8.450384224017614132e-01,1.231587955583267391e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.428502516130027156e-02
2.007709185765510718e+00,-1.700589363349212790e-01,1.869191595042343224e-01,5.918816778667312484e+00,-3.705691578076888870e+00,-3.288170741312686496e-01,-1.049322482084291241e+00,8.450384224017614132e-01,1.256587955583267524e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.398490941621274852e-02
2.034137631845001959e+00,6.326885657284617159e-02,1.809473995230315435e-01,5.685623606152739207e+00,-3.680032399720384539e+00,-3.385031334249870572e-01,-1.049322482084291241e+00,8.200384224017615020e-01,1.056587955583267568e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.290105904900243697e-02
2.034642075707338904e+00,2.991398783746316084e-02,1.910261746980513875e-01,5.707354631508072096e+00,-3.678904188781592755e+00,-3.399235897056744893e-01,-1.049322482084291241e+00,8.200384224017615020e-01,1.081587955583267480e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.363248576410527185e-02
2.035037570927017203e+00,-2.945545811874362811e-03,1.996780939802649535e-01,5.730190709976587193e+00,-3.678039450074134908e+00,-3.411761843540136452e-01,-1.049322482084291241e+00,8.200384224017615020e-01,1.106587955583267391e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.425978048265947283e-02
2.035328534648623400e+00,-3.508074034928819473e-02,2.065317596689942581e-01,5.754233418170820791e+00,-3.677435872826420926e+00,-3.422964688257957300e-01,-1.049322482084291241e+00,8.200384224017615020e-01,1.131587955583267524e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.475653751074004240e-02
2.035519095917706522e+00,-6.629702223643871295e-02,2.112894825056903791e-01,5.779545828394227591e+00,-3.677090824207148057e+00,-3.433193744351684118e-01,-1.049322482084291241e+00,8.200384224017615020e-01,1.156587955583267657e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.510175188060303153e-02
2.035612693620175495e+00,-9.644444979962531195e-02,2.137474776374318208e-01,5.806143319114167589e+00,-3.677002390927096354e+00,-3.442784084028935876e-01,-1.049322482084291241e+00,8.200384224017615020e-01,1.181587955583267568e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.528114908332473508e-02
2.035611799687394807e+00,-1.254239435112201595e-01,2.138078222694251851e-01,5.833988218621374067e+00,-3.677170168940238515e+00,-3.452052458984209427e-01,-1.049322482084291241e+00,8.200384224017615020e-01,1.206587955583267480e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.528793157731872347e-02
2.035517802828861633e+00,-1.531897294250855190e-01,2.114825083703934794e-01,5.862988236820391386e+00,-3.677595650905761904e+00,-3.461296377085060771e-01,-1.049322482084291241e+00,8.200384224017615020e-01,1.231587955583267391e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.512300171380307097e-02
2.035331068681851541e+00,-1.797483680804716488e-01,2.068903321785822425e-01,5.892998467771964677e+00,-3.678282153587702830e+00,-3.470795039533030590e-01,-1.049322482084291241e+00,8.200384224017615020e-01,1.256587955583267524e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.479473433221095355e-02
2.035051158098209800e+00,-2.051546835060847063e-01,2.002472856654529954e-01,5.923826764847270887e+00,-3.679234302759402553e+00,-3.480810808057584471e-01,-1.049322482084291241e+00,8.200384224017615020e-01,1.281587955583267657e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.431834492145149344e-02
2.034677172462470818e+00,-2.295048079475144331e-01,1.918509421558366734e-01,5.955242326643261030e+00,-3.680457157145279545e+00,-3.491590166047538468e-01,-1.049322482084291241e+00,8.200384224017615020e-01,1.306587955583267568e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.371486694170446184e-02
2.062019460724722641e+00,5.625241056275833568e-02,1.987431870741083739e-01,5.657205173797579256e+00,-3.652693374625283873e+00,-3.587110487017801108e-01,-1.049322482084291241e+00,7.950384224017615908e-01,1.056587955583267568e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.351344051017146219e-02
2.062495730777324621e+00,2.247189450973888572e-02,2.093311299148044313e-01,5.678879604670587611e+00,-3.651594821441034977e+00,-3.601232367993995043e-01,-1.049322482084291241e+00,7.950384224017615908e-01,1.081587955583267480e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.424418680914851104e-02
2.062865937471809463e+00,-1.117367295063925910e-02,2.192485049776764783e-01,5.701258528743866627e+00,-3.650766084452581328e+00,-3.613698628254025658e-01,-1.049322482084291241e+00,7.950384224017615908e-01,1.106587955583267391e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.492582430418856049e-02
2.063138652307405785e+00,-4.396962703736108369e-02,2.271002274615187000e-01,5.724990279545786542e+00,-3.650188924166454463e+00,-3.624800628914212064e-01,-1.049322482084291241e+00,7.950384224017615908e-01,1.131587955583267524e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.546506847117647653e-02
2.063318949066605956e+00,-7.570344838014221589e-02,2.325533248830686794e-01,5.750152100350481632e+00,-3.649858565553158574e+00,-3.634922754995154048e-01,-1.049322482084291241e+00,7.950384224017615908e-01,1.156587955583267657e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.583983464552756945e-02
2.063410946809867141e+00,-1.062142934617973100e-01,2.353834357342429462e-01,5.776766674278245084e+00,-3.649771584868033436e+00,-3.644427486257709736e-01,-1.049322482084291241e+00,7.950384224017615908e-01,1.181587955583267568e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.603539078541396656e-02
2.063417510214961226e+00,-1.353982006241755409e-01,2.354847074873428203e-01,5.804797655539357670e+00,-3.649926839829461311e+00,-3.653652532061902880e-01,-1.049322482084291241e+00,7.950384224017615908e-01,1.206587955583267480e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.604487326678523743e-02
2.063340136691316662e+00,-1.632098253584581549e-01,2.328724214978140361e-01,5.834148597867520714e+00,-3.650325924735567718e+00,-3.662911859868255848e-01,-1.049322482084291241e+00,7.950384224017615908e-01,1.231587955583267391e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.586937226119803160e-02
2.063179033573737442e+00,-1.896611013108425725e-01,2.276791116110047641e-01,5.864665136711742832e+00,-3.650973084873676999e+00,-3.672498645483117663e-01,-1.049322482084291241e+00,7.950384224017615908e-01,1.256587955583267524e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.551766427626448570e-02
2.062933369403232575e+00,-2.148171748159898586e-01,2.201449015737498571e-01,5.896140246398610785e+00,-3.651874608276727496e+00,-3.682688382651605474e-01,-1.049322482084291241e+00,7.950384224017615908e-01,1.281587955583267657e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.500563752383747389e-02
2.062601666990155458e+00,-2.387896205431764840e-01,2.106021325268576383e-01,5.928322643993770846e+00,-3.653037791281100954e+00,-3.693740900577129338e-01,-1.049322482084291241e+00,7.950384224017615908e-01,1.306587955583267568e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.435538650532720319e-02
2.062182286627076255e+00,-2.617268359894439622e-01,1.994541661048203074e-01,5.960928414843486678e+00,-3.654469625995085735e+00,-3.705900680401780778e-01,-1.049322482084291241e+00,7.950384224017615908e-01,1.331587955583267480e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.359392397941011459e-02
2.091139575344807433e+00,-5.343802368076173287e-02,2.491339812171139145e-01,5.692679223577885139e+00,-3.623120515777076722e+00,-3.848420798955069499e-01,-1.049322482084291241e+00,7.700384224017614576e-01,1.131587955583267524e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.612084678911874722e-02
2.091313984780836410e+00,-8.507415424395066428e-02,2.540154559316093463e-01,5.718351852989197681e+00,-3.622785397327081824e+00,-3.858342781146987810e-01,-1.049322482084291241e+00,7.700384224017614576e-01,1.156587955583267657e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.644017363554915387e-02
2.091404700251658699e+00,-1.159324905257019533e-01,2.572194723346737932e-01,5.744954942921370211e+00,-3.622700719857081531e+00,-3.867845296765640706e-01,-1.049322482084291241e+00,7.700384224017614576e-01,1.181587955583267568e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.664921915259806248e-02
2.091419896451248928e+00,-1.453112960398738607e-01,2.573757808845824613e-01,5.773136493903244570e+00,-3.622842237831366052e+00,-3.877122001791548089e-01,-1.049322482084291241e+00,7.700384224017614576e-01,1.206587955583267480e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.666199710831016076e-02
2.091361209547069500e+00,-1.731651460733782955e-01,2.545018064030795668e-01,5.802796577481108997e+00,-3.623211597753407620e+00,-3.886503113161349221e-01,-1.049322482084291241e+00,7.700384224017614576e-01,1.231587955583267391e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.647969281352777704e-02
2.091228761658641577e+00,-1.995099190526408994e-01,2.487408538710830785e-01,5.833772892266011034e+00,-3.623813907172659832e+00,-3.896296104508137903e-01,-1.049322482084291241e+00,7.700384224017614576e-01,1.256587955583267524e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.611118219191976647e-02
2.091021437045882614e+00,-2.244185119821082430e-01,2.403519061860802386e-01,5.865846163882600273e+00,-3.624657049817789911e+00,-3.906790477275186579e-01,-1.049322482084291241e+00,7.700384224017614576e-01,1.281587955583267657e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.557248627196965163e-02
2.090737300208732830e+00,-2.480147531410815398e-01,2.296955789785236901e-01,5.898747810133921021e+00,-3.625750527433781123e+00,-3.918260817378084737e-01,-1.049322482084291241e+00,7.700384224017614576e-01,1.306587955583267568e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.488605335027226584e-02
2.090374118426674865e+00,-2.704644323209406398e-01,2.172140854687527600e-01,5.932171014509309614e+00,-3.627103959429853752e+00,-3.930967400082724938e-01,-1.049322482084291241e+00,7.700384224017614576e-01,1.331587955583267480e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.407967887519604409e-02
2.089929933663006612e+00,-2.919631061215762213e-01,2.034046374369417043e-01,5.965785412729601944e+00,-3.628725445047826348e+00,-3.945154498315657232e-01,-1.049322482084291241e+00,7.700384224017614576e-01,1.356587955583267391e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.318496809590704449e-02
2.119566229466059770e+00,-1.258786366458183592e-01,2.799276780691256628e-01,5.709932605874655565e+00,-3.595862489330706513e+00,-4.116831845464345441e-01,-1.049322482084291241e+00,7.450384224017614354e-01,1.181587955583267568e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.716215522506078783e-02
2.119595765993420589e+00,-1.548510773317261779e-01,2.788954950430552193e-01,5.738919367419612172e+00,-3.595964656391768433e+00,-4.126047754150704572e-01,-1.049322482084291241e+00,7.450384224017614354e-01,1.206587955583267480e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.710411192417262208e-02
2.119557671639756613e+00,-1.827523203337375890e-01,2.758031974919127882e-01,5.768835906620240372e+00,-3.596301568285118044e+00,-4.135675805674892125e-01,-1.049322482084291241e+00,7.450384224017614354e-01,1.231587955583267391e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.691948776594147039e-02
2.119456545897045352e+00,-2.090055604747553530e-01,2.695372099620996220e-01,5.800208577600558968e+00,-3.596854628361447759e+00,-4.145814259028222093e-01,-1.049322482084291241e+00,7.450384224017614354e-01,1.256587955583267524e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.654203077833360166e-02
2.119291167273787302e+00,-2.336877508621849342e-01,2.603677287318666989e-01,5.832809655463343290e+00,-3.597633073960208261e+00,-4.156768362038459341e-01,-1.049322482084291241e+00,7.450384224017614354e-01,1.281587955583267657e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.598729382777246480e-02
2.119059348998332037e+00,-2.569310615463989977e-01,2.486756417338203962e-01,5.866357114860626609e+00,-3.598648393050766892e+00,-4.168830037856592896e-01,-1.049322482084291241e+00,7.450384224017614354e-01,1.306587955583267568e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.527737791429598091e-02
2.118758474364022426e+00,-2.789145512575217922e-01,2.349336260339672522e-01,5.900525232833564004e+00,-3.599912676600744543e+00,-4.182278312835679968e-01,-1.049322482084291241e+00,7.450384224017614354e-01,1.331587955583267480e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.444005112639377281e-02
2.118386096931059281e+00,-2.998527447975327109e-01,2.196809602815363582e-01,5.934958704374142968e+00,-3.601436768219680395e+00,-4.197377028663309972e-01,-1.049322482084291241e+00,7.450384224017614354e-01,1.356587955583267391e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.350745035391445921e-02
2.117940542788867120e+00,-3.199803323550814982e-01,2.034905650809401834e-01,5.969290880032396274e+00,-3.603228459326680788e+00,-4.214370581211934752e-01,-1.049322482084291241e+00,7.450384224017614354e-01,1.381587955583267524e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.251421875878862625e-02
2.147835764278489989e+00,-2.184178998404992245e-01,2.907347302950301637e-01,5.763105892018313803e+00,-3.570170902448918770e+00,-4.425723429534119679e-01,-1.049322482084291241e+00,7.200384224017614132e-01,1.256587955583267524e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.685330719725432885e-02
2.147717658844235711e+00,-2.423731380810106861e-01,2.797455987067373750e-01,5.796787107925320370e+00,-3.570858650670193590e+00,-4.437016434340788629e-01,-1.049322482084291241e+00,7.200384224017614132e-01,1.281587955583267657e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.622980943691692754e-02
2.147542444786975313e+00,-2.653037060026319782e-01,2.671299153539039573e-01,5.830886229581789593e+00,-3.571789021171210887e+00,-4.449877496611199246e-01,-1.049322482084291241e+00,7.200384224017614132e-01,1.306587955583267568e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.550985945539658413e-02
2.147309561390684074e+00,-2.868617325519141059e-01,2.522397941855882841e-01,5.865702677515590935e+00,-3.572955079420029101e+00,-4.464304358652524396e-01,-1.049322482084291241e+00,7.200384224017614132e-01,1.331587955583267480e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.465661496673055682e-02
2.147016354800575844e+00,-3.072761811234190898e-01,2.356473875304520293e-01,5.900860474502501063e+00,-3.574370162113801097e+00,-4.480584778784526545e-01,-1.049322482084291241e+00,7.200384224017614132e-01,1.356587955583267391e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.370191716052901118e-02
